seminar_id,region,Seminars
0bdaff5cd8db46781fb8a4970b16e381,Northeast,1
0c04713cda007bba2f74128fc09550bd,Midwest,2
0c04713cda007bba2f74128fc09550bd,Northeast,2
0c04713cda007bba2f74128fc09550bd,West,1
0c04713cda007bba2f74128fc09550bd,NA,1
0c0586896e84fc519d6402f682742981,Northeast,2
0c0586896e84fc519d6402f682742981,West,1
0c1011f42bcfd6f00b95f784911253f1,South,1
0cb86561e55f892b6b8842df78de1b7b,South,1
0cffb80fec0a3368c6219f4e4be18698,NA,1
0d1913bf60456e252f0511a45acb5195,West,1
0d377eeacf3a723ff599e8d0623b74f1,Northeast,1
0d377eeacf3a723ff599e8d0623b74f1,West,1
0d71955f7214d767c14ff4b6eb311b06,Midwest,1
0da3b11d1d281c32802b1cf3eec5201a,South,2
0da3b11d1d281c32802b1cf3eec5201a,NA,1
0ddc61fd248831a37448086e0dd50b7c,Midwest,1
0ddc61fd248831a37448086e0dd50b7c,South,1
0ddc61fd248831a37448086e0dd50b7c,West,1
0ddc61fd248831a37448086e0dd50b7c,NA,1
0df1cd91dc93c604c4f6b1c963320b07,West,1
0dfbdffb3aa43937a5feed3cca4eb0a2,West,1
0e9de8f675a4c50f696d8a9788908da5,Midwest,1
0e9de8f675a4c50f696d8a9788908da5,West,1
0ecc80f7184ddc89fecaf159de53249f,Northeast,1
0ecc80f7184ddc89fecaf159de53249f,South,1
0ecc80f7184ddc89fecaf159de53249f,West,1
0ed03a1877d12ececea7716fc1826b6c,Northeast,1
0f5875d059c2d7229ec2fce30eecfd27,Northeast,1
1039047ce345bd79487379745ee76e86,Midwest,1
1039047ce345bd79487379745ee76e86,Northeast,1
1039047ce345bd79487379745ee76e86,West,1
106c2ae3e9278879f6d654e23f1085a5,Northeast,1
106c2ae3e9278879f6d654e23f1085a5,West,1
106c2ae3e9278879f6d654e23f1085a5,NA,1
1093247ba3b885d7682fdee226c9cbe3,West,1
110b0698c215f08c5de160d266ab5fd2,South,2
116baa31937e333998172a09bd278f53,West,1
11d1e95d17cd4d2f8f62d812cfb7ca2b,Midwest,1
11d1e95d17cd4d2f8f62d812cfb7ca2b,Northeast,3
11d1e95d17cd4d2f8f62d812cfb7ca2b,West,3
12c28db073246c7b9dd0fe57959a10c1,Northeast,1
130c5d4918cb2959add966748868ae5e,West,1
1352386485dae0b005ee46a6ca854305,Midwest,1
138a10b132a7f2f3bbe9bd33fd0287e2,South,1
13d79b3e3f2a579f1228369bf841f964,NA,1
13fdb5491d4ad6c18c84900c54e3049f,South,1
1437b1cc26ce18b53c37fdfb638d97f7,Midwest,1
1437b1cc26ce18b53c37fdfb638d97f7,Northeast,2
1437b1cc26ce18b53c37fdfb638d97f7,South,1
144d520e1b0e88d83795a70ca7484e3d,Northeast,1
144ebb56cfb1df83f9dcf30e164d8216,Northeast,2
144ebb56cfb1df83f9dcf30e164d8216,South,1
144ebb56cfb1df83f9dcf30e164d8216,West,2
14a2d0d55d1a1ea7f8748d41162c9424,South,1
14a2d0d55d1a1ea7f8748d41162c9424,NA,1
154c3edfab8ca609ff867a3aebf256dd,Northeast,1
1598e66e3d86a492c38362aeb0e634ed,Northeast,4
1598e66e3d86a492c38362aeb0e634ed,South,1
1598e66e3d86a492c38362aeb0e634ed,West,2
1598e66e3d86a492c38362aeb0e634ed,NA,2
164ba69a03c8280c044aeb86d3c039aa,Northeast,1
168d4259afdc449a4544f9acc6f57176,Northeast,1
16a1524c3e1f8ee3094f4ef3fa4161d3,West,1
16e0f08a58c66668545b187e427bcc76,Northeast,2
16e0f08a58c66668545b187e427bcc76,South,1
16f0f7fd768d8ceb6222f56008aef554,Northeast,3
16f0f7fd768d8ceb6222f56008aef554,West,1
16ff1d975f0df71006ea515f91cbaacf,Northeast,1
16ff1d975f0df71006ea515f91cbaacf,South,2
17383a898abe12c8edf491ffc0def0bb,Northeast,1
173aea395a1d6eab4b8c3111648962e7,Northeast,2
173aea395a1d6eab4b8c3111648962e7,South,1
173aea395a1d6eab4b8c3111648962e7,West,1
173aea395a1d6eab4b8c3111648962e7,NA,3
174abb4d18ddeb22889051a2a2b583a7,Northeast,3
17961a39784917b1689d883a1f0e17de,Midwest,1
17961a39784917b1689d883a1f0e17de,South,1
17961a39784917b1689d883a1f0e17de,West,2
17df530b7fde4ecbc7c2893822fa0229,Midwest,1
17df530b7fde4ecbc7c2893822fa0229,South,1
17e6f7a424c1e014758c2385b5014cca,West,1
1806a1f1ad86e64ff9cb672d5723c71d,Northeast,1
187cc068bc18362d2950437ad6ef7d0a,Northeast,1
187cc068bc18362d2950437ad6ef7d0a,West,3
18897e640798e682cd26e67736ad3658,South,1
18b1d6be444d2671c173004ed48bd616,Northeast,1
18b1d6be444d2671c173004ed48bd616,West,1
18da1c1a96c769e83ec058eb10e7fbce,Northeast,1
19eff31b2ca836a4f5d5d4bc4ed20fa9,Midwest,1
1a8fc2c502783959fb11936c474bce28,South,1
1aba91f655e4a122d1f44691c51cd354,Northeast,1
1aba91f655e4a122d1f44691c51cd354,West,1
1aba91f655e4a122d1f44691c51cd354,NA,1
1abdd730c76682e5bf23dd1e98a30310,Midwest,1
1c59a74f150a6c7c21dde8defb78a11b,Midwest,1
1c59a74f150a6c7c21dde8defb78a11b,NA,1
1ca8926339a1d5c14e8f29b8c475ea3c,Northeast,1
1ca8926339a1d5c14e8f29b8c475ea3c,South,1
1ca8926339a1d5c14e8f29b8c475ea3c,West,3
1da49a04143345aaf1d1fdc61a5929d1,West,1
1dca3c86780aff90c72fb3d5c161b751,Northeast,1
1dca3c86780aff90c72fb3d5c161b751,South,2
1f11651ef21a99d0a44f1eff56b4c450,Northeast,1
1f11651ef21a99d0a44f1eff56b4c450,NA,2
1f68090e15cc1ac9435fac42d1aeb60c,Northeast,2
1f8b0f0a465b46e6fddc9d5bfeff60e7,Northeast,1
1fbda3c726a1b6327834061618bac52b,Northeast,2
1ff4ad69b1b90f3f5bb552ec5a5052c1,South,1
20652349f0a5b4519ddb47ed685dc325,South,1
20d2c27d2fcbed06fb6f7fb706a95847,Northeast,2
21c88e6801f59a37863d76ce5ee4956e,NA,1
21e22a2aa111ad144f091407bc724112,South,1
2229cb25575eacf82f185c2f34c18da2,Midwest,1
226c67cb8e8f7f5c07714b481cc32e33,Midwest,1
22e36fdee80e5eebff8fa8e239482ec0,West,2
2318b862c6083d2b7739070d62441b6b,Northeast,2
2318b862c6083d2b7739070d62441b6b,West,1
23406f76af1e9b5ac63c36cc4fabb8ea,Northeast,1
237def1591cda7883941ba489d985c7a,Northeast,1
237def1591cda7883941ba489d985c7a,South,1
237def1591cda7883941ba489d985c7a,NA,2
23f9f8bbe2304864fdce4be383df54f9,West,1
24a3abc87dbbb0f0165f04a304e5ab33,Northeast,1
24e10289b201412fb83dc1658e3e89af,Northeast,3
24e10289b201412fb83dc1658e3e89af,South,3
24e10289b201412fb83dc1658e3e89af,West,2
2561471d253812ef4b1f82bbcc841700,West,2
25cab15525ffac6545b1d21fce590da8,South,1
25cab15525ffac6545b1d21fce590da8,West,2
263f0a4b044414f1e4e0467eda54c2ee,West,1
267005ee89accc8325725c0367d29a53,South,1
2693cbce1879d10ad3a408fe8579f509,West,2
2693cbce1879d10ad3a408fe8579f509,NA,1
26e073f82061557953dc8af13d05e009,Northeast,2
26e073f82061557953dc8af13d05e009,South,1
26e073f82061557953dc8af13d05e009,NA,2
26e973ee4e146e0edce7ff024787bee9,South,1
26e973ee4e146e0edce7ff024787bee9,NA,1
2752c5f546751d857f9ea8df937461ec,West,3
275a552deb50be7a230df9c101fa1cf3,South,1
275a552deb50be7a230df9c101fa1cf3,West,2
27c061ccf8b762eee2091f18c6ee4aa9,Northeast,1
