seminar_id,Seminars
0002b1390755ec3561fbbb59a93043a0,1
000b4e9cb727c899d7ae6cf5c4b12c2c,4
002285b1bbc3219be6e168ca94d0433e,1
003ea6d6653e588c839b63d19ae8e75d,1
0046f2bf72144e99559917345cb5741e,5
004cb834277d80b59d52dbda24d142ef,3
0061ec9d2f3b7c8075da4eff6d5f3696,1
00656f06a13a50ed5b517722a463548a,1
0078805f216612e1ce6705ddcdef41f2,1
009ead203bfc8da20cd3c7c96f0a4cc9,2
00adbcc517e4d0cafdbf2c4715a38920,1
00af7abeb71a8b067a6b7d19e59bcbc8,2
00b566229d6909a5aa8da4dddc52fc28,3
00c10d39bd2c7fd08662295465785e42,4
00d5c9afc526fddb7b6cc9ccf3814f65,2
00d6971aeaca008840d4528aa45873b1,2
00e7172ca1ce27aab6a5ada9b79273b5,3
00f15ed12fef6de28dfb91d2a24e4937,1
00fd88bacaf0ebcf42a8826f8ebec091,2
0111a85fb5bf68d4ba57a2a407e122cd,1
0113c7379d40500caedd9134c7630a31,1
011cfcd2c7e5a1284d276943ea716e55,4
012d3acc53d2f8d1a37b40cc463cb7b8,1
01426b5a08fb911f47b1b56230a22fab,3
0155eaf2565c0699a6c4c8d55f97a886,1
0187645821cb7b683a52909093c8e0be,1
01885a6b7427ad73f25b3958b8541320,1
01e23dcadc6196ded17d72d380e399ca,1
02003f3aba5321283992cb77bc12d2d9,1
021966dcc3bb6c4e1d994cc6bf898b0f,1
023be4c153d0070d7757f3041298a442,1
023f75f6562c2389315bc4ff053719e3,3
024b9b410a185cef274b019ac3dc391a,4
024ec9dee7c319d16a12aa34ffc80d0c,2
0267dcf8f98f7192d7fcf31618679465,1
027a597276d38f5929f65d538155b09c,4
02bdb8a41e00784c95c442ca79fb7606,1
02c112e879c105c061a8cf8e1431fbec,2
02c1e2fb5bd7a488249723fedcd612d2,4
02c706f74c2571b9899d2b7b1afaf0b6,2
02d0de36355037bec5bcd6e8ff5f1cb2,1
033f13361884b6ccc3d012fe5f99648d,3
0348a2cbdc743221067b5fef2f428bbf,1
036e77d7d85dc3825b894e9cbd7162d7,3
037007df33e024f2f8d99540c8ab803b,2
0388971a33e57e7552045a61a5b466cb,2
038f5b6f375a68340cd532992bcfbb4d,1
03913e2ce1f8548809243a086fe66a4b,1
0394a04168aacfb88937106468ac8876,5
03ac027f74a5d52981fda1f70acd506e,1
03bcc5739aac98d347975c535b9ade5d,2
03c20c1a1ed2bd2abe48028befee93d2,1
03fd5838a7a9afbc7d696e73a83f8391,1
0404eb83736aaae1d227666a025a4b59,3
0445e5e773c84edfb12c1ded10a052fa,1
0452f73a25068e68f9a201f22cfd3911,3
04573a40dede20faf1504823ed9e74fa,1
047ff474530d026654ddb409b8492fe1,1
04d0170bd2a692bf62de0b6ae6368230,2
04dd55ab77b04b298f5874591bf6e5f1,2
04fdf2f9c51e3c0e0e237c9ea9eae875,1
0521c43f9297f968feafe802c0f9e29c,1
053a988b607ef800a81ea61246cb44d2,4
056377d0dbd69632f059e5c8593bded1,8
057a9a19b9f1e4997a8a6cff5d11ddff,4
0585cf964daf833c2b19e6bb7dc80266,1
05886867546830dfb741b3be3b01158b,1
058e0b2633916140e70f600c4cc5f6e5,3
05a575f2c076c1ef85ced0835f7581b1,2
05ac062b03fcffb983d8c9b0c59e78e7,1
05b75ed619a2b8859b72b51e0c55bcf0,1
05d76aaa43bf84e90db2429a4c8cfd11,1
05f851532dab0b22618688de98d5f9b7,1
05fd24f6b70160ddf1a3351edc3afe47,2
061c589515978d364b49f4ab510dd2b9,1
061fb625c9bce7e86d94b42914ab6599,2
06491365f49714203b4fbccbff7daa61,1
065000c9e20da7cc467f3583fc0f22eb,1
0652178a0c16fcd5527b5d7a55086c6e,4
065323bbacdaf7a8cb9e120cf469184e,2
06b2b0d9f9cc52304c7ffd5f6cbe06bf,2
06bf2da30476dff54f88ef1220d9ec38,1
06d7a7cfdd7a988b72cf17386a4538f9,1
06e3ac895a0cdf25d3b9fee550596fb1,1
06e47604fe3f2c0719350887f5821bd7,3
0709c1d5d9c16abeb7ce044b0b202408,1
070d44edd4ddce0c997a004b3b34ec32,1
07169329afc3fcd25e2b3c2ba3b58397,2
07175ba35f63c6756fb28b9df0f427f0,2
0733a9f471ffe34fe35f1f8361178664,4
074c38d6b6101ca57dcdc35f614b14fe,1
074f0d5199acba10b59aa7e33a7593a0,4
0758d6a150646292c3b09ad784af308d,3
075ab7e86e25f7192c98100375de4f63,1
076cd3c77a6351162be93f851b76f01f,2
0782d5767d4469ce4cf679677b962d14,4
07856fdb41c22714a55fcdaaa05719c0,1
078ec32f240fba531d11d9439cc8ed16,3
079bab7eae42de6a7cdd84ff3c3dc39f,2
07ab02ca9f62c94e25633d1602c2509a,1
07d2decfe20bc73b2a9e9983ff49dd84,1
07dc57b883d8983a23aa0d022a5f1221,1
07f256ead2057a6c48c21b85ccd6b9ff,2
07f3dfc951eb2e6bd913720c151d8569,1
07fd2e09bedb43a472c2e12cde483e91,2
080761751c005b27ddd7a37adaf65bed,1
081a229e03cb69f7bc71be95d3e3fd24,1
082084165b17a90f39d2b0ae0abc5b11,4
084a004d114cca7d553e659deec28804,2
08af24bafde6a3a05bad8845588fc065,1
08b6e4091e057c8e43a0576987f3eac5,3
08e3db425a89df29419a97b0bf1824b2,1
08e7f97a67fd9b1398fe0a3068929225,1
092200f2f5d20e170a2b9debb4bc4a81,3
092b5c7b002b09a7c148932b0f59e8c7,1
0944c1b6b105b30aa22d8bfa49b4b234,3
094993171d710e4e675c46ff69ee39a8,1
0954235eec30117d60728462b02319b6,10
098514be439e4abf31a513da2b8d4fe7,1
0993e5c2ff9e8c118d8cea66c7e486e1,3
0998a5a2dac90a4388eb5db076313961,3
0998c08194c1c0149674fa98fbc3dae4,1
099981a882a7f6ff31536c7bc8314bcc,8
0999cdeeb515a6cf93dfb52529b1015e,1
09c47b61da075b8fcd560143832e9a18,1
09d59dbe4810b1ecd2f7ef9321a5a631,1
09e861481f8be4717989b5ce8ebe55fa,1
09ee4091be95b249da7739c25c8efb5f,2
09ff7d1eacf5b7caca1e73d8bc86d1cd,1
0a0b4c68d740b0ce33776df4f5ef1116,1
0a12edf70acae12462aea498ec4bc4c7,6
0a184df17cfe8ee652f2e71c6ec2d5f9,1
0a27aef2ccd080cfeb3b729b8b4e580a,2
0a33bd824ebc223e958698c11be81def,5
0a7938f875223708b5e37f641f8c7cea,3
0a7e7c230673d96e0fe9721af8444a88,2
0a83a683694d06688a60f5caa1690498,1
0ab169f1728a4097b0a81a2cfa4585d5,7
0ac49d1583460fbca76649ad702a8766,1
0aca3105cd847401999e5a5a56839474,1
0adb8692ef003c092763d2d26e21c79c,4
0aecf649e8a934e567741cf574879685,1
0b008a684502cbce72825098c1d292b9,1
0b1694429bdfbff8c9481f52aeb1835c,1
0b1ce7e74e195bef0cafd44bcdd485c2,1
0b597fe0f6edb4bfbe9c26141adf3823,1
0b955bf2a3cc877a15307f652a274d5e,2
0b996af2dfc9d0fb09aaf469c821259d,2
0bdaff5cd8db46781fb8a4970b16e381,1
0be0600d5f5cca7db6c1512a593b5f37,1
0be0e12ad7a5f4aff22e785c152c5751,3
0bf2a02ea91232b89c80d2514624ea70,2
0bf45bab43287bc125f29164c2c19cc4,1
0bfcc4042048866577d493fe9019db18,4
0c04713cda007bba2f74128fc09550bd,6
0c0586896e84fc519d6402f682742981,3
0c0a7a9c5b6a6e45277fcf4a6c486d59,3
0c1011f42bcfd6f00b95f784911253f1,1
0c79a572ed70d2e1aaaf0af97953823f,1
0c983ba0c5e7d3d2d45ac6259239006e,2
0cb86561e55f892b6b8842df78de1b7b,1
0ccc570564aedb5778291676684d0caa,1
0cde0912467dda8bd62dada13155fb69,1
0cffb80fec0a3368c6219f4e4be18698,1
0d1913bf60456e252f0511a45acb5195,1
0d2d1e03a44f332ca709d4cda1424de9,2
0d377eeacf3a723ff599e8d0623b74f1,2
0d39b61708b53b080069f977ed36f701,2
0d65c9e94be1c9b41950714167688b59,7
0d71955f7214d767c14ff4b6eb311b06,1
0d7b56a6a9d27269d0f30712d72990d2,1
0d8e5efb99bc5fe8289b6257062868f7,2
