semester,Seminars
2014-08-01,54
2015-01-01,56
2015-08-01,66
2016-01-01,67
2016-08-01,59
2017-01-01,65
2017-08-01,65
2018-01-01,75
2018-08-01,71
2019-01-01,94
2019-08-01,104
