semester,Seminars
2014-08-01,266
2015-01-01,303
2015-08-01,280
2016-01-01,339
2016-08-01,258
2017-01-01,313
2017-08-01,307
2018-01-01,325
2018-08-01,330
2019-01-01,349
2019-08-01,350
